mdl,agnews,amazon_counterfactual,amazon_massive_scenario,amazonpolarity,appreviews,banking77,biasframes_intent,biasframes_offensive,biasframes_sex,capsotu,emotiondair,empathetic,financialphrasebank,imdb,manifesto,massive,mtop_domain,rottentomatoes,toxic_conversations_50k,trueteacher,tweet_sentiment_extraction,wikitoxic_insult,wikitoxic_obscene,wikitoxic_threat,wikitoxic_toxicaggregated,yahootopics,yelpreviews
bert-large-uncased,0.2608878016471863,0.49240630865097046,0.06362501531839371,0.4708682894706726,0.5080965161323547,0.03117235191166401,0.4558570384979248,0.5256953835487366,0.4851379990577698,0.09962859004735947,0.17798647284507751,0.03202961012721062,0.3277882933616638,0.5080194473266602,0.02425803802907467,0.03465794026851654,0.1149892508983612,0.5187616944313049,0.5335000157356262,0.5,0.41673779487609863,0.524808406829834,0.5782321691513062,0.546785831451416,0.5489631295204163,0.11928775906562805,0.505445659160614
deberta-v3-large,0.2724846303462982,0.5165878534317017,0.046076931059360504,0.5,0.5082085132598877,0.026604287326335907,0.4932771921157837,0.5335056185722351,0.5032030344009399,0.037681616842746735,0.17542590200901031,0.03125,0.39009273052215576,0.5,0.02116798236966133,0.0021551724057644606,0.0755637064576149,0.501876175403595,0.5049999952316284,0.5,0.3184184730052948,0.578202486038208,0.5848830342292786,0.5235831141471863,0.5708839297294617,0.09236700087785721,0.5076031684875488
ModernBERT-large,0.25,0.5,0.09776502847671509,0.4989733099937439,0.4964637756347656,0.03836919739842415,0.5179999470710754,0.5513418912887573,0.4964858293533325,0.06778620928525925,0.17683719098567963,0.021197250112891197,0.33451467752456665,0.5,0.013843538239598274,0.028600864112377167,0.15450258553028107,0.5,0.4964999854564667,0.5033244490623474,0.3333333432674408,0.4671822488307953,0.5854091644287109,0.49391403794288635,0.6063859462738037,0.14147253334522247,0.5241302847862244
bart-large-mnli,0.7252845168113708,0.5018050670623779,0.5454501509666443,0.9329286813735962,0.9208909273147583,0.3000609278678894,0.6145737767219543,0.5023094415664673,0.5090233683586121,0.36520224809646606,0.4806637763977051,0.38309159874916077,0.6726571917533875,0.9292382001876831,0.09726245701313019,0.42766883969306946,0.8422161340713501,0.8330206274986267,0.5734999775886536,0.5150381326675415,0.6185846328735352,0.5161438584327698,0.7288388609886169,0.5209205150604248,0.6164907217025757,0.27680033445358276,0.9596747159957886
nli-roberta-base,0.7066395878791809,0.5120440721511841,0.279588907957077,0.8879902362823486,0.8940892219543457,0.07116952538490295,0.5283114910125732,0.5302104949951172,0.5598506331443787,0.17624379694461823,0.4559451937675476,0.3178861141204834,0.6504240036010742,0.8321985602378845,0.01680239662528038,0.33095434308052063,0.4383202791213989,0.7983114719390869,0.6554999947547913,0.4803931713104248,0.6077786684036255,0.630657434463501,0.7237746715545654,0.5491631627082825,0.7062214016914368,0.35932984948158264,0.8879522681236267
bert-base-uncased-nli,0.6929008364677429,0.5098344087600708,0.2859208881855011,0.8619967103004456,0.8377816081047058,0.014650114811956882,0.569557785987854,0.5799597501754761,0.7322278022766113,0.05334913730621338,0.4212839901447296,0.14671137928962708,0.6046509742736816,0.7925077676773071,0.016121715307235718,0.30588337779045105,0.6160512566566467,0.7570356726646423,0.5794999599456787,0.49787968397140503,0.6324023008346558,0.7861692309379578,0.7487791776657104,0.619389533996582,0.6396063566207886,0.34131163358688354,0.8871057033538818
bert-large-uncased-nli,0.748619794845581,0.573447048664093,0.39285600185394287,0.8379144668579102,0.8546466827392578,0.08436316251754761,0.6063221096992493,0.5612396001815796,0.8219488859176636,0.17148847877979279,0.4311284124851227,0.12993068993091583,0.7565159797668457,0.806333065032959,0.04045149311423302,0.3592279553413391,0.42847660183906555,0.717635989189148,0.5529999732971191,0.49896785616874695,0.6482795476913452,0.8357025980949402,0.7754977941513062,0.8496576547622681,0.6665986180305481,0.22243475914001465,0.8962278366088867
bert-large-uncased-nli-triplet,0.7356671690940857,0.595885694026947,0.3278299570083618,0.8372379541397095,0.8499263525009155,0.06681493669748306,0.6088849306106567,0.6407065391540527,0.732758641242981,0.19008205831050873,0.3465455174446106,0.19607101380825043,0.71299809217453,0.7835376262664795,0.04148751124739647,0.4299509525299072,0.4751039743423462,0.7260788083076477,0.5875000357627869,0.4953993558883667,0.6477671265602112,0.7702758312225342,0.8376864194869995,0.7358786463737488,0.7751439809799194,0.37010493874549866,0.8965920805931091
deberta-v3-base-nli,0.7681264877319336,0.5,0.49574947357177734,0.8986594676971436,0.9102022647857666,0.13334208726882935,0.5409887433052063,0.5509325265884399,0.738469123840332,0.19229184091091156,0.4229639172554016,0.3092634081840515,0.7995125651359558,0.9141499996185303,0.082496777176857,0.34249347448349,0.6700924634933472,0.8236397504806519,0.6915000081062317,0.4969155490398407,0.6244850158691406,0.7329212427139282,0.8276936411857605,0.7160041928291321,0.7863515615463257,0.4725315272808075,0.9311494827270508
deberta-v3-large-nli,0.8169254064559937,0.505415141582489,0.5653939843177795,0.9221413731575012,0.9279314279556274,0.38250041007995605,0.6852177977561951,0.5858902335166931,0.6273885369300842,0.22876231372356415,0.4845179617404938,0.4474509358406067,0.8421474099159241,0.9014514088630676,0.11071651428937912,0.44142600893974304,0.7655045986175537,0.8489681482315063,0.7289999723434448,0.503928542137146,0.663076639175415,0.6768685579299927,0.8357380032539368,0.6705020666122437,0.8018040060997009,0.5421027541160583,0.9830665588378906
